,Date,Close,buy,share,cost,total_shares,total_cost,stock_value,ex_dividend_date,dividend_amount,dividend_cash,capital_gains,dividend_ratio
0,2008-01-02,25.700001,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,
1,2008-01-03,25.23,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0
2,2008-01-04,25.51,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0
3,2008-01-07,24.85,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0
4,2008-01-08,25.379999,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0
5,2008-01-09,25.83,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0
6,2008-01-10,25.73,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0
7,2008-01-11,25.610001,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0
8,2008-01-14,25.860001,0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0
9,2008-01-15,26.200001,1,1000,26200.001,1000,26200.001,26200.001,0,0.0,0.0,0.0,0.0
10,2008-01-16,25.35,0,0,0.0,1000,26200.001,25350.0,0,0.0,0.0,-3.2442785021267753,0.0
11,2008-01-17,24.93,0,0,0.0,1000,26200.001,24930.0,0,0.0,0.0,-4.847331876056036,0.0
12,2008-01-18,24.950001,0,0,0.0,1000,26200.001,24950.001,0,0.0,0.0,-4.770992184313275,0.0
13,2008-01-21,24.700001,0,0,0.0,1000,26200.001,24700.001,0,0.0,0.0,-5.725190621175931,0.0
14,2008-01-22,23.18,0,0,0.0,1000,26200.001,23180.0,0,0.0,0.0,-11.526720934094621,0.0
15,2008-01-23,22.85,0,0,0.0,1000,26200.001,22850.0,0,0.0,0.0,-12.786262870753326,0.0
16,2008-01-24,23.1,0,0,0.0,1000,26200.001,23100.0,0,0.0,0.0,-11.832064433890672,0.0
17,2008-01-25,23.48,0,0,0.0,1000,26200.001,23480.0,0,0.0,0.0,-10.381682809859436,0.0
18,2008-01-28,22.629999,0,0,0.0,1000,26200.001,22629.999,0,0.0,0.0,-13.625961311986213,0.0
19,2008-01-29,22.85,0,0,0.0,1000,26200.001,22850.0,0,0.0,0.0,-12.786262870753326,0.0
20,2008-01-30,22.76,0,0,0.0,1000,26200.001,22760.0,0,0.0,0.0,-13.129774308023881,0.0
21,2008-01-31,22.790001,0,0,0.0,1000,26200.001,22790.001,0,0.0,0.0,-13.015266678806615,0.0
22,2008-02-01,23.200001,0,0,0.0,1000,26200.001,23200.001,0,0.0,0.0,-11.450381242351861,0.0
23,2008-02-12,22.77,0,0,0.0,1000,26200.001,22770.0,0,0.0,0.0,-13.091606370549375,0.0
24,2008-02-13,22.6,0,0,0.0,1000,26200.001,22600.0,0,0.0,0.0,-13.74046130761598,0.0
25,2008-02-14,23.440001,0,0,0.0,1000,26200.001,23440.001,0,0.0,0.0,-10.534350742963712,0.0
26,2008-02-15,23.389999,1,1000,23389.999,2000,49590.0,46779.998,0,0.0,0.0,-5.666469046178666,0.0
27,2008-02-18,23.5,0,0,0.0,2000,49590.0,47000.0,0,0.0,0.0,-5.222827182899778,0.0
28,2008-02-19,23.91,0,0,0.0,2000,49590.0,47820.0,0,0.0,0.0,-3.569267997580157,0.0
29,2008-02-20,23.42,0,0,0.0,2000,49590.0,46840.0,0,0.0,0.0,-5.545472877596289,0.0
30,2008-02-21,23.950001,0,0,0.0,2000,49590.0,47900.002,0,0.0,0.0,-3.407941117160717,0.0
31,2008-02-22,23.82,0,0,0.0,2000,49590.0,47640.0,0,0.0,0.0,-3.9322444041137325,0.0
32,2008-02-25,24.34,0,0,0.0,2000,49590.0,48680.0,0,0.0,0.0,-1.8350473885864087,0.0
33,2008-02-26,24.440001,0,0,0.0,2000,49590.0,48880.002,0,0.0,0.0,-1.4317362371445848,0.0
34,2008-02-27,24.860001,0,0,0.0,2000,49590.0,49720.002,0,0.0,0.0,0.26215366001210005,0.0
35,2008-02-29,24.82,0,0,0.0,2000,49590.0,49640.0,0,0.0,0.0,0.1008267795926598,0.0
36,2008-03-03,24.540001,0,0,0.0,2000,49590.0,49080.002,0,0.0,0.0,-1.0284291187739456,0.0
37,2008-03-04,25.139999,0,0,0.0,2000,49590.0,50279.998,0,0.0,0.0,1.3914055253075208,0.0
38,2008-03-05,25.219999,0,0,0.0,2000,49590.0,50439.998,0,0.0,0.0,1.714051220004032,0.0
39,2008-03-06,25.780001,0,0,0.0,2000,49590.0,51560.002,0,0.0,0.0,3.972579149021981,0.0
40,2008-03-07,25.4,0,0,0.0,2000,49590.0,50800.0,0,0.0,0.0,2.4400080661423673,0.0
41,2008-03-10,24.889999,0,0,0.0,2000,49590.0,49779.998,0,0.0,0.0,0.3831377293809227,0.0
42,2008-03-11,25.040001,0,0,0.0,2000,49590.0,50080.002,0,0.0,0.0,0.9881064730792507,0.0
43,2008-03-12,25.139999,0,0,0.0,2000,49590.0,50279.998,0,0.0,0.0,1.3914055253075208,0.0
44,2008-03-13,24.48,0,0,0.0,2000,49590.0,48960.0,0,0.0,0.0,-1.2704174228675136,0.0
45,2008-03-14,24.299999,0,0,0.0,2000,49590.0,48599.998,0,0.0,0.0,-1.996374269005849,0.0
46,2008-03-17,23.83,1,1000,23830.0,3000,73420.0,71490.0,0,0.0,0.0,-2.6287115227458457,0.0
47,2008-03-18,24.049999,0,0,0.0,3000,73420.0,72149.997,0,0.0,0.0,-1.729777989648593,0.0
48,2008-03-19,24.309999,0,0,0.0,3000,73420.0,72929.997,0,0.0,0.0,-0.6673971669844687,0.0
49,2008-03-20,24.66,0,0,0.0,3000,73420.0,73980.0,0,0.0,0.0,0.7627349496050122,0.0
50,2008-03-21,25.09,0,0,0.0,3000,73420.0,75270.0,0,0.0,0.0,2.519749387087987,0.0
51,2008-03-24,25.870001,0,0,0.0,3000,73420.0,77610.003,0,0.0,0.0,5.706895941160442,0.0
52,2008-03-25,25.82,0,0,0.0,3000,73420.0,77460.0,0,0.0,0.0,5.5025878507218735,0.0
53,2008-03-26,25.790001,0,0,0.0,3000,73420.0,77370.003,0,0.0,0.0,5.380009534186866,0.0
54,2008-03-27,25.559999,0,0,0.0,3000,73420.0,76679.997,0,0.0,0.0,4.440202941977667,0.0
55,2008-03-28,25.719999,0,0,0.0,3000,73420.0,77159.997,0,0.0,0.0,5.093975755924821,0.0
56,2008-03-31,25.639999,0,0,0.0,3000,73420.0,76919.997,0,0.0,0.0,4.767089348951243,0.0
57,2008-04-01,25.26,0,0,0.0,3000,73420.0,75780.0,0,0.0,0.0,3.2143830019068376,0.0
58,2008-04-02,25.709999,0,0,0.0,3000,73420.0,77129.997,0,0.0,0.0,5.053114955053123,0.0
59,2008-04-03,25.58,0,0,0.0,3000,73420.0,76740.0,0,0.0,0.0,4.521928629801144,0.0
60,2008-04-07,25.9,0,0,0.0,3000,73420.0,77700.0,0,0.0,0.0,5.829474257695451,0.0
61,2008-04-08,25.67,0,0,0.0,3000,73420.0,77010.0,0,0.0,0.0,4.8896758376464176,0.0
62,2008-04-09,25.629999,0,0,0.0,3000,73420.0,76889.997,0,0.0,0.0,4.726228548079547,0.0
63,2008-04-10,26.040001,0,0,0.0,3000,73420.0,78120.003,0,0.0,0.0,6.401529555979294,0.0
64,2008-04-11,26.18,0,0,0.0,3000,73420.0,78540.0,0,0.0,0.0,6.973576682102969,0.0
65,2008-04-14,26.299999,0,0,0.0,3000,73420.0,78899.997,0,0.0,0.0,7.463902206483251,0.0
66,2008-04-15,26.360001,1,1000,26360.001,4000,99780.001,105440.004,0,0.0,0.0,5.6724824045652165,0.0
67,2008-04-16,26.68,0,0,0.0,4000,99780.001,106720.0,0,0.0,0.0,6.955300591748838,0.0
68,2008-04-17,26.76,0,0,0.0,4000,99780.001,107040.0,0,0.0,0.0,7.276006140749583,0.0
69,2008-04-18,26.780001,0,0,0.0,4000,99780.001,107120.004,0,0.0,0.0,7.356186536819133,0.0
70,2008-04-21,26.76,0,0,0.0,4000,99780.001,107040.0,0,0.0,0.0,7.276006140749583,0.0
71,2008-04-22,26.690001,0,0,0.0,4000,99780.001,106760.004,0,0.0,0.0,6.995392794193293,0.0
72,2008-04-23,26.68,0,0,0.0,4000,99780.001,106720.0,0,0.0,0.0,6.955300591748838,0.0
73,2008-04-24,26.68,0,0,0.0,4000,99780.001,106720.0,0,0.0,0.0,6.955300591748838,0.0
74,2008-04-25,26.620001,0,0,0.0,4000,99780.001,106480.004,0,0.0,0.0,6.714775438817641,0.0
75,2008-04-28,26.84,0,0,0.0,4000,99780.001,107360.0,0,0.0,0.0,7.59671168975033,0.0
